編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPSNMLOJLHOFFEP86CA,24,36.67,見其他登記事項,鋼筋混凝土造,84年5月26日,地下二層,地下二層
RPUNMLSJLHOFFBP17CA,,237.28,見其他登記事項,鋼筋混凝土造,107年6月1日,四層,一層 二層 三層 四層 騎樓 見其他登記事項
RPTNMLPLKHOFFAP76CA,34,92.96,住家用,磚造,73年9月1日,一層,一層
RPQNMLNLKHOFFAP88CA,1,213.74,見其他登記事項,鋼筋混凝土造,106年11月6日,三層,一層 二層 三層 屋頂突出物
RPSNMLOJLHOFFAP09CA,24,268.24,住家用,鋼筋混凝土造,83年10月3日,四層,一層 二層 三層 四層 電梯樓梯間
RPXNMLPJLHOFFAP07CA,25,84.11,住家用,鋼筋混凝土造,83年1月5日,十一層,三層
RPXNMLPJLHOFFAP07CA,25,11.47,共同部份,鋼筋混凝土造,83年1月5日,十一層,
RPXNMLPJLHOFFAP07CA,25,9.86,共同部份,鋼筋混凝土造,83年1月5日,十一層,
RPXNMLPJLHOFFAP07CA,25,8.86,停車空間,鋼筋混凝土造,83年1月5日,十一層,地下層
RPSNMLNLKHOFFAP09CA,3,70.56,見其他登記事項,鋼筋混凝土造,105年6月30日,七層,二層
RPSNMLNLKHOFFAP09CA,3,33.24,見其他登記事項,鋼筋混凝土造,105年6月30日,七層,
RPRNMLRLKHOFFBP86CA,25,159.49,住家用,鋼筋混凝土造,82年8月6日,三層,一層 二層 三層 電梯樓梯間
RPVNMLSJLHOFFBP27CA,,232.10,見其他登記事項,鋼筋混凝土造,107年6月1日,四層,一層 二層 三層 四層 騎樓 見其他登記事項
RPQOMLMLKHOFFAP88CA,25,347.49,農舍,鋼筋混凝土造,82年11月23日,二層,一層 二層 電梯樓梯間
RPWNMLOKLHOFFAP96CA,1,191.44,見其他登記事項,鋼筋混凝土造,107年6月20日,四層,一層 二層 三層 四層
RPPOMLQLKHOFFDP86CA,4,243.06,見其他登記事項,鋼筋混凝土造,104年3月13日,二層,一層 二層 地下一層
RPPNMLSKLHOFFDP96CA,35,263.37,住商用,加強磚造,73年4月15日,四層,一層 二層 三層 四層 騎樓 電梯樓梯間
RPQNMLRLKHOFFAP76DA,26,237.12,住家用,鋼筋混凝土造,82年1月18日,四層,一層 二層 三層 四層 騎樓
RPQNMLOJLHOFFBP09DA,24,72.20,住家用,鋼筋混凝土造,84年3月16日,十二層,十二層
RPQNMLOJLHOFFBP09DA,24,39.31,共有部份,鋼筋混凝土造,84年3月16日,,
RPSNMLLKLHOFFBP98CA,,168.60,住家用,鋼筋混凝土造,107年11月21日,三層,一層 二層 三層
RPTNMLLKLHOFFBP09CA,,173.19,見其他登記事項,鋼筋混凝土造,107年11月21日,三層,一層 二層 三層 見其他登記事項
RPUNMLLKLHOFFBP56CA,,167.66,住家用,鋼筋混凝土造,107年11月21日,三層,一層 二層 三層
RPTNMLQLKHOFFAP86CA,22,87.58,住家用,鋼筋混凝土造,86年3月21日,十三層,六層
RPTNMLQLKHOFFAP86CA,22,13.43,共同部份,鋼筋混凝土造,86年3月21日,十三層,
RPTNMLQLKHOFFAP86CA,22,13.34,共同部份,鋼筋混凝土造,86年3月21日,十三層,
RPSNMLTKLHOFFEP47CA,25,124.79,住商用,加強磚造,82年10月14日,三層,一層 二層 三層
RPSNMLTKLHOFFEP47CA,25,124.79,住商用,加強磚造,82年10月14日,三層,一層 二層 三層
RPSNMLQLKHOFFCP17EA,31,178.53,住家用,加強磚造,77年4月14日,二層,一層 二層
RPVNMLPLKHOFFAP96CA,22,28.10,住家用,鋼筋混凝土造,86年5月15日,十六層,九層
RPVNMLPLKHOFFAP96CA,22,4.42,共同部份,鋼筋混凝土造,86年5月15日,十六層,
RPVNMLPLKHOFFAP96CA,22,9.24,共同部份,鋼筋混凝土造,86年5月15日,十六層,
RPPNMLPJLHOFFAP88CA,14,160.59,住家用,鋼筋混凝土造,94年5月10日,三層,一層 二層 三層
RPUNMLTKLHOFFDP57CA,,176.42,住家用,鋼筋混凝土造,107年10月23日,四層,一層 二層 三層 四層
RPSNMLTKLHOFFDP37CA,,186.13,住家用,鋼筋混凝土造,107年10月23日,四層,一層 二層 三層 四層
RPTNMLTKLHOFFDP47CA,,178.92,住家用,鋼筋混凝土造,107年10月23日,四層,一層 二層 三層 四層
RPRNMLSJLHOFFAP76CA,26,3.17,住家用,鋼筋混凝土造,82年7月25日,二層,一層 二層 電梯樓梯間
RPRNMLSJLHOFFAP76CA,26,171.72,住家用,鋼筋混凝土造,82年7月21日,四層,一層 二層 三層 四層 電梯樓梯間
RPQNMLOJLHOFFAP98DA,9,333.72,住家用,鋼筋混凝土造,98年10月5日,三層,一層 二層 三層 電梯樓梯間
RPPNMLRJLHOFFAP56DA,37,195.51,住商用,見其他登記事項,71年2月28日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPUNMLQLLHOFFEP47CA,43,109.14,住商用,加強磚造,65年3月30日,二層,一層 二層 騎樓
RPSNMLTLLHOFFDP47CA,20,63.58,住家用,鋼筋混凝土造,88年7月30日,十四層,十層
RPSNMLTLLHOFFDP47CA,20,1.26,住家用,鋼筋混凝土造,88年7月30日,十四層,
RPSNMLTLLHOFFDP47CA,20,7.22,見其他登記事項,鋼筋混凝土造,88年7月30日,十四層,
RPSNMLTLLHOFFDP47CA,20,13.37,共有部份,鋼筋混凝土造,88年7月30日,十四層,
RPVNMLTKLHOFFDP67CA,,176.42,住家用,鋼筋混凝土造,107年10月23日,四層,一層 二層 三層 四層
RPWNMLTKLHOFFDP77CA,,176.42,住家用,鋼筋混凝土造,107年10月23日,四層,一層 二層 三層 四層
RPXNMLTKLHOFFDP87CA,,183.15,住家用,鋼筋混凝土造,107年10月23日,四層,一層 二層 三層 四層
RPOOMLTKLHOFFDP07CA,,183.15,住家用,鋼筋混凝土造,107年10月23日,四層,一層 二層 三層 四層
RPQNMLMKLHOFFDP09CA,39,118.51,住商用,加強磚造,69年7月5日,二層,一層 二層 騎樓
