編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPQNMLPJLHKFFHR86CA,,207.99,住家用,見其他登記事項,103年9月17日,四層,一層 二層 三層 四層 屋頂突出物
RPSOMLNJKHKFFAD47DA,12,88.80,國民住宅,鋼筋混凝土造,91年11月15日,十二層,十層
RPSOMLNJKHKFFAD47DA,12,42.44,共有部分,鋼筋混凝土造,91年11月15日,十二層,
RPTNMLQKKHKFFAD87DA,43,143.91,住家用,加強磚造,61年5月25日,三層,一層 二層 三層 地下層
RPPOMLPLKHKFFAD57DA,24,64.80,商業用,鋼筋混凝土造,80年2月2日,六層,一層
RPPOMLPLKHKFFAD57DA,24,11.54,共有部分,鋼筋混凝土造,80年2月2日,六層,
RPPOMLPLKHKFFAD57DA,24,6.27,共有部分,鋼筋混凝土造,80年2月2日,六層,
RPWNMLQLKHKFFHR67CA,,182.46,住家用,見其他登記事項,103年10月21日,四層,一層 二層 三層 四層
RPXNMLQLKHKFFHR77CA,,182.46,住家用,見其他登記事項,103年10月21日,四層,一層 二層 三層 四層
RPTNMLQLKHKFFHR37CA,,182.46,住家用,見其他登記事項,103年10月21日,四層,一層 二層 三層 四層
RPUOMLNJKHKFFHR07CA,16,75.34,住家用,鋼筋混凝土造,88年4月26日,十二層,八層
RPUOMLNJKHKFFHR07CA,16,8.67,共有部分,鋼筋混凝土造,88年4月26日,十二層,
RPUOMLNJKHKFFHR07CA,16,35.98,共有部分,鋼筋混凝土造,88年4月26日,十二層,
RPUNMLQLKHKFFHR47CA,,182.46,住家用,見其他登記事項,103年10月21日,四層,一層 二層 三層 四層
RPSQMLOJKHKFFHR17CA,20,79.77,住家用,鋼筋混凝土造,83年10月6日,十二層,五層
RPSQMLOJKHKFFHR17CA,20,26.82,共有部分,鋼筋混凝土造,83年10月6日,十二層,
RPSNMLSJKHKFFHR27CA,3,14.84,見其他登記事項,鋼筋混凝土造,100年12月19日,十一層,
RPSNMLSJKHKFFHR27CA,3,58.96,見其他登記事項,鋼筋混凝土造,100年12月19日,十一層,三層
RPSNMLSJKHKFFHR27CA,3,17.57,見其他登記事項,鋼筋混凝土造,100年12月19日,十一層,
RPQOMLMJLHKFFHR66CA,34,71.43,住家用,加強磚造,69年7月1日,二層,一層 二層
RPXOMLPJKHKFFHR57CA,34,108.42,住商用,鋼筋混凝土造,69年12月24日,二層,一層 二層 騎樓
RPTOMLPJKHKFFHR17CA,21,18.81,住家用,鋼筋混凝土造,83年4月13日,七層,四層
RPTOMLPJKHKFFHR17CA,21,6.85,共有部分,鋼筋混凝土造,83年4月13日,七層,
RPOOMLOJKHKFFHR56CA,,219.39,住家用,見其他登記事項,103年8月12日,四層,一層 二層 三層 四層
RPQNMLOJKHKFFGR56CA,34,123.20,住商用,加強磚造,69年9月11日,二層,一層 二層 騎樓
RPQNMLRKKHKFFHR07CA,25,177.46,住家用,鋼筋混凝土造,79年5月9日,二層,一層 二層 夾層
RPQNMLRKKHKFFHR07CA,9,235.90,住商用,見其他登記事項,95年3月28日,二層,一層 二層 騎樓
RPPNMLPJKHKFFFR09CA,16,18.77,住家用,鋼筋混凝土造,88年3月12日,十三層,八層
RPSNMLRKKHKFFER96CA,21,169.54,見其他登記事項,鋼筋混凝土造,82年8月4日,七層,一層 二層 三層
RPTOMLOLKHKFFER96CA,,189.65,住家用,鋼筋混凝土造,103年9月15日,四層,一層 二層 三層 四層 見其他登記事項
RPPSMLMKKHKFFER66CA,21,160.69,住家用,鋼筋混凝土造,83年1月4日,三層,一層 二層 三層 屋頂突出物
RPRQMLPLKHKFFER07CA,1,205.28,見其他登記事項,鋼筋混凝土造,103年5月30日,三層,二層 三層 屋頂突出物 一層 見其他登記事項
RPRQMLPLKHKFFER07CA,1,.02,見其他登記事項,鋼筋混凝土造,103年5月30日,一層,
RPRNMLPJKHKFFER56CA,38,122.80,住家用,加強磚造,66年1月1日,三層,一層 二層 三層 騎樓
RPRNMLQKKHKFFDR66CA,24,151.06,住家用,鋼筋混凝土造,79年10月17日,三層,一層 二層 三層
RPUNMLKKKHKFFER09CA,20,247.93,住家用,鋼筋混凝土造,83年8月22日,四層,一層 二層 三層 四層
RPQNMLNJLHKFFAR58CA,,218.38,住家用,鋼筋混凝土造,103年9月25日,四層,一層 二層 三層 四層
RPRNMLPLKHKFFCD77CA,1,499.66,見其他登記事項,鋼筋混凝土構造,102年11月7日,五層,一層 二層 三層 四層 五層
RPXNMLKKKHKFFDR66CA,23,1715.59,工業用,鋼造,81年3月20日,一層,一層
RPRNMLPLKHKFFCR56CA,1,244.87,住商用,鋼筋混凝土造,103年6月16日,四層,四層 一層 二層 三層
RPQNMLMKKHKFFCD27CA,28,127.57,住家用,加強磚造,76年3月19日,二層,
RPUNMLPLKHKFFCD08CA,25,159.43,住家用,鋼筋混凝土構造,79年7月7日,十四層,十四層 夾層
RPXOMLNJKHKFFCD08CA,31,80.95,住家用,鋼筋混凝土構造,73年1月18日,十二層,三層
RPXOMLNJKHKFFCD08CA,31,11.99,共有部分,鋼筋混凝土構造,73年1月18日,十二層,
RPTOMLQJLHKFFCD08CA,1,94.23,見其他登記事項,鋼筋混凝土構造,103年6月5日,五層,五層
RPTOMLQJLHKFFCD08CA,1,29.44,見其他登記事項,鋼筋混凝土構造,103年6月5日,五層,
RPTOMLQJLHKFFCD08CA,1,11.36,見其他登記事項,鋼筋混凝土構造,103年6月5日,五層,
RPVOMLPJKHKFFCD08CA,25,188.48,住家用,鋼筋混凝土構造,79年3月5日,二層,一層 二層 屋頂突出物 夾層
RPPNMLRJKHKFFCD57CA,40,60.80,商業用,加強磚造,64年2月28日,一層,
RPPPMLMKKHKFFCD37CA,20,93.37,住家用,鋼筋混凝土構造,84年3月7日,七層,七層
RPPPMLMKKHKFFCD37CA,20,28.95,共有部分,鋼筋混凝土構造,84年3月7日,七層,
RPWNMLSJKHKFFCD38CA,15,96.22,住家用,鋼筋混凝土構造,89年1月15日,十三層,十一層
RPWNMLSJKHKFFCD38CA,15,9.56,共有部分,鋼筋混凝土構造,89年1月15日,十三層,
RPWNMLSJKHKFFCD38CA,15,16.35,共有部分,鋼筋混凝土構造,89年1月15日,十三層,
RPWNMLSJKHKFFCD38CA,15,33.92,共有部分,鋼筋混凝土構造,89年1月15日,十三層,
RPQNMLQJKHKFFCD57CA,1,324.38,見其他登記事項,鋼筋混凝土構造,103年4月23日,五層,一層 二層 三層 四層 五層
RPQNMLQJKHKFFCD57CA,1,.10,見其他登記事項,鋼筋混凝土構造,103年4月23日,五層,
