編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLLKJILFFFN56CA,21,85.68,見其他登記事項,鋼筋混凝土造,85年4月12日,十三層,五層
RPWNMLLKJILFFFN56CA,21,16.48,見其他登記事項,鋼筋混凝土造,85年4月12日,十三層,
RPWNMLLKJILFFFN56CA,21,10.08,見其他登記事項,鋼筋混凝土造,85年4月12日,十三層,
RPOOMLKMJILFFAN08CA,32,145.64,住家用,鋼筋混凝土造,74年1月5日,三層,一層 二層 三層
RPVNMLSLJILFFAN76CA,19,87.99,住家用,鋼筋混凝土造,86年5月26日,十七層,八層
RPVNMLSLJILFFAN76CA,19,47.35,見其他登記事項,鋼筋混凝土造,86年5月26日,十七層,
RPUNMLQKJILFFBN09CA,31,100.80,農舍,加強磚造,75年3月18日,二層,一層 二層
RPPNMLLKJILFFAN97CA,39,123.47,見其他登記事項,加強磚造,66年2月2日,二層,一層 二層
RPPOMLMJKILFFAN18CA,1,138.47,見其他登記事項,鋼筋混凝土造,105年2月3日,三層,一層 二層 三層 屋頂突出物
RPTNMLPKJILFFAN78CA,26,123.90,住家用,加強磚造,79年7月25日,二層,一層 二層
RPPNMLRKJILFFAN58CA,1,156.54,見其他登記事項,鋼筋混凝土造,104年7月14日,三層,一層 二層 三層 屋頂突出物
RPQNMLKKJILFFAN97CA,,264.08,見其他登記事項,鋼筋混凝土造,105年4月29日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPRNMLKKJILFFAN08CA,,268.54,見其他登記事項,鋼筋混凝土造,105年4月29日,五層,一層 二層 三層 四層 五層
RPSNMLKKJILFFAN18CA,,284.48,見其他登記事項,鋼筋混凝土造,105年4月29日,五層,一層 二層 三層 四層 五層
RPXNMLQKJILFFAN66CA,44,170.94,住家用,加強磚造,62年1月25日,三層,一層 二層 三層
RPSOMLKMJILFFAN48CA,34,83.02,住家用,鋼筋混凝土造,72年1月15日,五層,三層
RPQNMLKKJILFFCN18CA,,173.51,見其他登記事項,鋼筋混凝土造,105年6月27日,四層,一層 二層 三層 四層
RPRNMLKKJILFFCN28CA,23,97.92,住家用,鋼筋混凝土造,82年8月4日,五層,三層
RPRNMLKKJILFFCN28CA,23,11.35,見其他登記事項,鋼筋混凝土造,82年8月4日,五層,
RPSNMLLKJILFFCN48CA,,179.26,見其他登記事項,鋼筋混凝土造,105年8月9日,四層,一層 二層 三層 四層
RPVNMLLLJILFFCN88CA,33,161.85,住家用,鋼筋混凝土加強磚造,72年10月26日,三層,一層 二層 三層 騎樓
RPPNMLOKJILFFAN28CA,6,236.98,見其他登記事項,鋼筋混凝土造,99年8月6日,五層,一層 二層 三層 四層 五層
RPROMLPKJILFFCN88CA,,181.89,住家用,鋼筋混凝土造,105年8月12日,四層,一層 二層 三層 四層
RPTOMLLLJILFFCN78CA,,187.27,見其他登記事項,鋼筋混凝土造,105年7月25日,四層,一層 二層 三層 四層
RPSOMLLLJILFFCN68CA,,177.14,見其他登記事項,鋼筋混凝土造,105年7月25日,三層,一層 二層 三層 屋頂突出物
RPQNMLPJKILFFCN68CA,39,95.38,住家用,加強磚造,66年10月27日,二層,一層 二層
RPSNMLMKJILFFDN68CA,23,141.69,住家用,鋼筋混凝土造,83年2月24日,三層,一層 二層 三層
RPQNMLNLJILFFDN68CA,24,53.41,住家用,鋼筋混凝土造,82年4月12日,七層,五層
RPQNMLNLJILFFDN68CA,24,11.13,見其他登記事項,鋼筋混凝土造,82年4月12日,七層,
RPQNMLNLJILFFDN68CA,24,7.43,見其他登記事項,鋼筋混凝土造,82年4月12日,七層,
RPROMLRKJILFFDN56CA,23,1.29,見其他登記事項,鋼筋混凝土造,82年12月15日,七層,
RPROMLRKJILFFDN56CA,23,11.24,見其他登記事項,鋼筋混凝土造,82年12月15日,七層,
RPROMLRKJILFFDN56CA,23,83.33,住家用,鋼筋混凝土造,82年12月15日,七層,五層
RPROMLRKJILFFDN56CA,23,16.60,共有部分,鋼筋混凝土造,82年12月15日,七層,
RPXNMLSKJILFFFN37CA,,155.47,住宅,鋼筋混凝土造,105年9月9日,三層,一層 二層 三層 見其他登記事項
RPWNMLSKJILFFFN27CA,,156.78,住宅,鋼筋混凝土造,105年9月9日,三層,一層 二層 三層 見其他登記事項
RPQNMLNKJILFFFN78CA,,158.55,住宅,鋼筋混凝土造,105年7月25日,三層,一層 二層 三層 見其他登記事項
RPPNMLNKJILFFFN68CA,,171.94,住宅,鋼筋混凝土造,105年7月25日,三層,一層 二層 三層 見其他登記事項
RPUNMLTJJILFFAN66DA,41,151.38,住商用,鋼筋混凝土加強磚造,64年5月2日,三層,一層 二層 三層 騎樓
RPPNMLMKJILFFHN78CA,28,90.30,住家用,鋼筋混凝土造,77年11月22日,二層,一層 二層 騎樓
RPUNMLMLJILFFFN56CA,37,113.02,住商用,加強磚造,69年4月18日,二層,一層 二層 騎樓
RPPNMLOJKILFFGN98DA,34,137.54,農舍,加強磚造,71年7月17日,二層,一層 二層
RPVNMLQKJILFFGN17DA,1,296.41,住家用,鋼筋混凝土造,104年12月30日,三層,一層 二層 三層
RPOOMLQKJILFFGN56DA,1,239.98,住家用,鋼筋混凝土造,104年12月30日,三層,一層 二層 三層
RPRNMLNKJILFFFN88CA,,155.58,住宅,鋼筋混凝土造,105年7月25日,三層,一層 二層 三層 見其他登記事項
RPXNMLQKJILFFGN37DA,1,279.90,住家用,鋼筋混凝土造,104年12月30日,三層,一層 二層 三層
RPUNMLQKJILFFGN07DA,1,289.52,住家用,鋼筋混凝土造,104年12月30日,三層,一層 二層 三層
RPQNMLMKJILFFHN88CA,14,294.70,工業用,鋼筋混凝土造,92年4月16日,四層,一層 二層 三層 四層
RPRNMLLKJILFFEN58CA,36,82.31,住商用,鋼筋混凝土加強磚造,69年10月1日,二層,一層 二層
RPRNMLTLJILFFHN17CA,1,182.05,住家用,鋼筋混凝土造,105年8月12日,三層,一層 二層 三層 屋頂突出物
RPSNMLTLJILFFHN27CA,,182.44,住家用,鋼筋混凝土造,105年8月12日,三層,一層 二層 三層 屋頂突出物
RPUNMLLKJILFFFN98CA,36,355.32,見其他登記事項,鋼筋混凝土造,69年5月24日,四層,一層 二層 三層 四層 騎樓
RPSNMLLLJILFFFN88CA,,155.47,住宅,鋼筋混凝土造,105年9月9日,三層,一層 二層 三層 見其他登記事項
RPOOMLOKJILFFDN58CA,1,225.21,見其他登記事項,鋼筋混凝土造,104年12月11日,四層,一層 二層 三層 四層 屋頂突出物
RPRNMLNLJILFFDN78CA,26,23.11,住家用,鋼筋混凝土造,80年1月4日,五層,四層
RPRNMLNLJILFFDN78CA,26,9.39,見其他登記事項,鋼筋混凝土造,80年1月4日,五層,
RPQNMLQKJILFFCN78CA,18,124.00,住家用,鋼筋混凝土造,88年1月14日,六層,二層
RPQNMLQKJILFFCN78CA,18,65.24,見其他登記事項,鋼筋混凝土造,88年1月14日,八層,
RPVNMLLJKILFFDN88CA,21,28475.87,見其他登記事項,鋼筋混凝土造,84年8月21日,十五層,一層 二層 地下一層
RPVNMLLJKILFFDN88CA,21,1223.75,見其他登記事項,鋼筋混凝土造,84年8月21日,十六層,
RPPNMLPJKILFFDN68CA,23,14.76,共有部分,鋼筋混凝土造,82年12月16日,七層,
