編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLSLRHNFFAV87CA,25,.57,共有部分,鋼筋混凝土造,83年1月26日,七層,
RPPNMLSLRHNFFAV87CA,25,4.33,共有部分,鋼筋混凝土造,83年1月26日,七層,
RPPNMLSLRHNFFAV87CA,25,.57,共有部分,鋼筋混凝土造,83年1月26日,七層,
RPPNMLLJIINFFDV09CA,24,31.54,見其他登記事項,鋼筋混凝土造,83年9月30日,八層,五層
RPPNMLLJIINFFDV09CA,24,6.07,見其他登記事項,鋼筋混凝土造,83年9月30日,八層,
RPPNMLOLIINFFAV76DA,40,83.00,住家用,加強磚造,67年3月25日,二層,一層 二層
RPRNMLRKIINFFAV17DA,35,35.38,住家用,見其他登記事項,72年3月1日,一層,一層
RPQNMLSLRHNFFAV08DA,34,131.78,住家用,加強磚造,73年11月5日,二層,一層 二層
RPQNMLLJIINFFDV56CA,24,31.54,見其他登記事項,鋼筋混凝土造,83年9月30日,八層,八層
RPQNMLLJIINFFDV56CA,24,6.07,見其他登記事項,鋼筋混凝土造,83年9月30日,八層,
RPPOMLOJIINFFAV56CA,41,92.02,住家用,加強磚造,66年12月2日,二層,一層 二層
RPPNMLMJIINFFAV88CA,51,64.76,住商用,見其他登記事項,56年12月15日,二層,一層 二層
RPVNMLMKIINFFAV96CA,23,158.16,住家用,鋼筋混凝土造,84年4月19日,四層,一層 二層 三層 四層
RPQOMLSJIINFFAV07CA,43,74.82,住家用,見其他登記事項,64年10月30日,二層,一層 二層
RPSOMLLKIINFFAV66CA,33,106.78,住家用,加強磚造,74年8月2日,二層,一層 二層
RPSNMLOJIINFFAV76CA,1,168.62,住家用,見其他登記事項,106年12月21日,三層,一層 二層 三層
RPSNMLQLRHNFFAV97CA,25,62.65,見其他登記事項,鋼筋混凝土造,83年1月26日,七層,七層
RPSNMLQLRHNFFAV97CA,25,1.58,共有部分,鋼筋混凝土造,83年1月26日,七層,
RPRNMLOJIINFFAV66CA,25,28.00,見其他登記事項,鋼筋混凝土造,82年10月26日,六層,六層
RPRNMLOJIINFFAV66CA,25,11.62,見其他登記事項,鋼筋混凝土造,82年10月26日,六層,
RPSNMLQLRHNFFAV97CA,25,1.58,共有部分,鋼筋混凝土造,83年1月26日,七層,
RPSNMLQLRHNFFAV97CA,25,1.58,共有部分,鋼筋混凝土造,83年1月26日,七層,
RPSNMLQLRHNFFAV97CA,25,1.58,共有部分,鋼筋混凝土造,83年1月26日,七層,
RPSNMLQLRHNFFAV97CA,25,1.58,共有部分,鋼筋混凝土造,83年1月26日,七層,
RPSNMLQLRHNFFAV97CA,25,1.58,共有部分,鋼筋混凝土造,83年1月26日,七層,
RPSNMLQLRHNFFAV97CA,25,1.59,共有部分,鋼筋混凝土造,83年1月26日,七層,
RPSNMLQLRHNFFAV97CA,25,11.96,共有部分,鋼筋混凝土造,83年1月26日,七層,
RPUNMLRKIINFFAV37CA,,226.94,見其他登記事項,見其他登記事項,107年4月20日,三層,一層 二層 三層 見其他登記事項
RPPNMLOJIINFFAV09CA,26,209.00,住家用,鋼筋混凝土造,81年6月25日,三層,一層 二層 三層
RPPOMLLKIINFFAV98CA,,230.38,見其他登記事項,見其他登記事項,107年3月22日,三層,一層 二層 三層 見其他登記事項
RPPNMLPJIINFFDV86CA,20,35.30,商業用,鋼筋混凝土造,87年3月6日,十層,六層
RPWNMLQKIINFFAV47CA,21,60.07,見其他登記事項,鋼筋混凝土造,86年9月26日,五層,二層
RPWNMLQKIINFFAV47CA,21,13.47,見其他登記事項,鋼筋混凝土造,86年9月26日,五層,
RPWNMLQKIINFFAV47CA,21,9.88,見其他登記事項,,86年9月26日,五層,
RPPNMLLKIINFFAV88CA,35,32.55,住家用,見其他登記事項,73年1月15日,一層,一層 騎樓
RPVNMLSJIINFFAV47CA,32,121.27,住家用,加強磚造,75年10月18日,二層,一層 二層
RPUNMLOJIINFFAV96CA,25,18.22,見其他登記事項,鋼筋混凝土造,83年3月2日,五層,三層
RPUNMLOJIINFFAV96CA,25,8.02,見其他登記事項,鋼筋混凝土造,83年3月2日,五層,
RPWNMLSJIINFFAV57CA,22,73.40,見其他登記事項,鋼筋混凝土造,85年3月26日,八層,七層
RPWNMLSJIINFFAV57CA,22,8.44,見其他登記事項,鋼筋混凝土造,85年3月26日,八層,
RPWNMLSJIINFFAV57CA,22,12.89,見其他登記事項,鋼筋混凝土造,85年3月26日,八層,
RPPOMLSJIINFFAV96CA,4,204.91,住家用,見其他登記事項,103年6月5日,三層,一層 二層 三層
RPWNMLOJIINFFAV17CA,25,102.74,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,四層
RPWNMLOJIINFFAV17CA,25,.26,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.69,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.26,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.26,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.26,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.26,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,3.58,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.26,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.26,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.69,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,.26,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPWNMLOJIINFFAV17CA,25,2.26,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPPNMLQLIINFFAV86CA,22,10.94,見其他登記事項,鋼筋混凝土造,85年6月28日,九層,
RPPNMLQLIINFFAV86CA,22,6.84,見其他登記事項,鋼筋混凝土造,85年6月28日,九層,
RPPNMLQLIINFFAV86CA,22,54.59,見其他登記事項,鋼筋混凝土造,85年6月28日,九層,九層
RPXNMLSJIINFFAV67CA,37,91.53,住家用,鋼筋混凝土造,70年10月21日,七層,五層
RPXNMLSJIINFFAV67CA,,14.92,見其他登記事項,鋼筋混凝土造,,一層,
RPXNMLSJIINFFAV67CA,37,16.28,見其他登記事項,鋼筋混凝土造,70年10月21日,七層,
RPXNMLLKIINFFAV07CA,31,98.07,住商用,鋼筋混凝土造,76年4月18日,三層,一層 二層 三層 騎樓 地下層
RPSNMLLKIINFFAV56CA,22,218.41,見其他登記事項,鋼筋混凝土造,85年5月23日,四層,一層 二層 三層 四層
RPOOMLLKIINFFAV88CA,31,100.12,住商用,鋼筋混凝土造,76年4月18日,三層,一層 二層 三層 騎樓 地下層
RPUOMLLKIINFFAV86CA,38,90.30,住家用,加強磚造,69年7月18日,二層,一層 二層
RPPNMLLJJINFFAV88CA,,207.30,見其他登記事項,見其他登記事項,107年7月24日,三層,一層 二層 三層 見其他登記事項
RPTNMLLKIINFFAV66CA,,239.44,見其他登記事項,見其他登記事項,107年3月23日,三層,一層 二層 三層 見其他登記事項
RPQNMLLKIINFFBV09CA,35,92.98,住家用,加強磚造,72年6月29日,二層,一層 二層 騎樓
RPSNMLQKIINFFAV07CA,25,24.28,見其他登記事項,鋼筋混凝土造,83年1月26日,七層,二層
RPSNMLQKIINFFAV07CA,25,.82,共有部分,鋼筋混凝土造,83年1月26日,七層,
RPSNMLQKIINFFAV07CA,25,.82,共有部分,鋼筋混凝土造,83年1月26日,七層,
RPSNMLQKIINFFAV07CA,25,.82,共有部分,鋼筋混凝土造,83年1月26日,七層,
RPSNMLQKIINFFAV07CA,25,.82,共有部分,鋼筋混凝土造,83年1月26日,七層,
RPSNMLQKIINFFAV07CA,25,.82,共有部分,鋼筋混凝土造,83年1月26日,七層,
RPSNMLQKIINFFAV07CA,25,.82,共有部分,鋼筋混凝土造,83年1月26日,七層,
RPSNMLQKIINFFAV07CA,25,.82,共有部分,鋼筋混凝土造,83年1月26日,七層,
RPSNMLQKIINFFAV07CA,25,6.16,共有部分,鋼筋混凝土造,83年1月26日,七層,
RPVNMLMJJINFFAV96CA,28,15.90,住家用,鋼筋混凝土造,79年7月13日,三層,一層 二層 三層 騎樓
RPTNMLMJJINFFAV76CA,28,79.52,住家用,鋼筋混凝土造,79年7月13日,三層,一層 二層 三層 騎樓
RPPNMLRKIINFFAV86CA,22,12.27,見其他登記事項,鋼筋混凝土造,85年3月26日,八層,
RPPNMLRKIINFFAV86CA,22,18.75,見其他登記事項,鋼筋混凝土造,85年3月26日,八層,
RPQNMLPJIINFFAV66CA,20,261.64,住家用,鋼筋混凝土造,87年8月25日,四層,一層 二層 三層 四層
RPXNMLPKIINFFAV47CA,33,103.10,住家用,加強磚造,74年6月1日,二層,一層 二層
RPQNMLRKIINFFAV96CA,22,6.14,見其他登記事項,鋼筋混凝土造,85年3月26日,八層,
RPQNMLRKIINFFAV96CA,22,9.37,見其他登記事項,鋼筋混凝土造,85年3月26日,八層,
RPPNMLPKIINFFAV66CA,25,102.22,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,二層
RPPNMLPKIINFFAV66CA,25,.67,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPPNMLPKIINFFAV66CA,25,.24,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPPNMLPKIINFFAV66CA,25,.24,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPPNMLPKIINFFAV66CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPPNMLPKIINFFAV66CA,25,.24,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPPNMLPKIINFFAV66CA,25,.24,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPPNMLPKIINFFAV66CA,25,.24,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPPNMLPKIINFFAV66CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPPNMLPKIINFFAV66CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPPNMLPKIINFFAV66CA,25,.25,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
RPPNMLPKIINFFAV66CA,25,.24,見其他登記事項,鋼筋混凝土造,82年12月3日,四層,
